15.07.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PE_C from 09.07.21, C_Std and R_Std from 27.06.21;;;;;;;;;;;;;;;;;;;;;;;;;;PE_C;init Conc;;porewater vol.
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;Samples;PCE [ppm];PFOA [ppm];added  init [ml]
Injection vol. 50ul;;ChemStation;;;;;;;;;;;;;;;;;;;;;;;;PE_C_PCE_15.07.21_1.1;0;0;8
;;m/z 95;;m/z 150;;m/z 152;;m/z 164;;;m/z 166;;;Theoret. Init. Conc;;;;;;;;;;;;PE_C_PCE_15.07.21_1.2;2.5;12.5;8
6;PE_C_PCE_16.07.21_C_Std_3.2;3.559;2063584;13.154;928185;13.155;594986;6.977;216956;218155;6.979;274487;278296;0.5;;;;;;;;;;;;;;;
7;PE_C_PCE_16.07.21_C_Std_4.1;3.56;1845374;13.155;1101833;13.155;705963;6.979;439729;441585;6.979;562767;563189;1;;;;;;;;;;;;;;;
8;PE_C_PCE_16.07.21_C_Std_4.2;3.562;2114307;13.155;988806;13.156;637142;6.981;485255;478715;6.982;635811;638327;1;;;;;;;;;;;;;;;
9;PE_C_PCE_16.07.21_Blk.2;3.558;2129997;13.155;986239;13.155;621055;0;0;0;0;0;0;;;;;;;;;;;;;;;;
10;PE_C_PCE_16.07.21_2.1.2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
11;PE_C_PCE_16.07.21_2.2.2;0;0;0;0;0;0;6.974;0;53470;6.976;0;67077;;;;;;;;;;;;;;;;
12;PE_C_PCE_16.07.21_2.3.2;0;0;0;0;0;0;6.975;0;59062;6.977;0;77765;;;;;;;;;;;;;;;;
13;PE_C_PCE_16.07.21_2.4.2;0;0;0;0;0;0;0;0;0;6.975;0;32193;Low - Repeat?;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;PE_C_PCE_16.07.21_3.1.1;0;0;0;0;0;0;6.976;0;56024;6.977;0;69765;;;;;;;;;;;;;;;;
15;PE_C_PCE_16.07.21_3.1.2;0;0;0;0;0;0;6.97;0;52797;6.971;0;66729;;;;;;;;;;;;;;;;
16;PE_C_PCE_15607.21_3.2.1;0;0;0;0;0;0;6.969;359390;361110;6.971;464051;467353;;;;;;;;;;;;;;;;
17;PE_C_PCE_16.07.21_3.2.2;0;0;0;0;0;0;6.967;368063;370209;6.969;476415;479265;;;;;;;;;;;;;;;;
18;PE_C_PCE_16.07.21_Blk.3;3.547;2117137;13.154;1976925;13.154;1275257;0;0;0;0;0;0;;;;;;;;;;;;;;;;
19;PE_C_PCE_16.07.21_3.3.1;0;0;0;0;0;0;6.969;334293;336171;6.971;429428;430853;;;;;;;;;;;;;;;;
20;PE_C_PCE_16.07.21_3.3.2;0;0;0;0;0;0;6.383;396058;397618;6.384;507573;510648;Early Injected;;;;;;;;;;;;;;;
21;PE_C_PCE_16.07.21_3.4.1;0;0;0;0;0;0;6.958;330133;332039;6.959;419243;421836;;;;;;;;;;;;;;;;
22;PE_C_PCE_16.07.21_3.4.2;0;0;0;0;0;0;6.958;319686;320872;6.959;414545;415628;;;;;;;;;;;;;;;;
23;PE_C_PCE_16.07.21_3.3.3;0;0;0;0;0;0;6.966;250974;264994;6.966;299817;311032;;;;;;;;;;;;;;;;
