;Na (µg/L);%RSD;Mg (µg/L);%RSD;K (µg/L);%RSD;Ca (µg/L);%RSD;V (µg/L);%RSD;Cr (µg/L);%RSD;Mn (µg/L);%RSD;Fe (µg/L);%RSD;Co (µg/L);%RSD;Ni (µg/L);%RSD;Cu (µg/L);%RSD;Zn (µg/L);%RSD;As (µg/L);%RSD;Se (µg/L);%RSD;Cd (µg/L);%RSD
PE_B_12.1;101.72;2.60;60.67;4.37;99.96;0.99;3036.96;1.25;0.07;17.11;0.05;11.41;0.29;6.94;2.40;10.42;0.02;9.64;0.12;11.86;0.37;4.49;0.19;21.59;0.05;112.40;0.20;289.60;0.00;60.06
PE_B_12.2;105.94;3.19;63.57;6.44;107.12;0.82;3189.77;0.79;0.07;16.04;0.05;6.04;0.29;1.47;2.37;10.90;0.02;25.42;0.11;11.99;0.35;5.04;0.29;16.97;0.15;59.77;0.54;123.80;0.00;90.66
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PE_C_1.1;106.13;2.99;73.73;3.86;41.49;1.86;3346.78;0.47;0.06;9.58;0.06;7.50;0.34;5.77;2.63;10.71;0.01;8.65;0.11;11.51;0.36;6.76;0.46;7.97;0.10;95.59;0.68;83.24;0.00;33.78
PE_C_1.2;122.19;2.35;85.24;4.21;50.22;1.25;4052.05;0.68;0.01;445.80;2.43;2.16;3.96;1.00;19.80;3.02;0.04;11.54;0.46;3.62;0.59;4.98;0.27;13.65;0.12;65.00;0.38;122.40;0.00;81.48
PE_C_1.3;131.22;1.35;97.59;4.27;56.40;0.77;4593.70;0.40;0.06;7.89;0.05;12.69;0.20;5.66;2.47;8.87;0.01;8.19;0.11;11.50;0.34;8.69;0.18;14.87;0.01;824.10;-0.01;4579.00;0.00;76.48
PE_C_1.4;134.54;2.06;111.69;3.75;57.06;1.84;5146.64;0.23;0.05;14.80;0.14;7.44;0.18;7.65;3.06;13.35;0.01;14.88;0.36;3.56;0.41;4.71;0.43;4.19;0.08;143.00;0.59;112.20;0.00;111.00
PE_C_2.1;126.55;3.29;180.02;2.99;668.64;1.11;486.65;2.47;0.41;4.52;0.14;6.79;10.12;1.31;32.15;2.15;0.08;4.80;0.23;6.76;0.40;8.70;4.25;2.09;0.17;45.62;-0.11;390.80;0.02;20.91
PE_C_2.2;115.74;1.33;141.69;2.71;553.63;0.53;388.88;1.28;0.39;5.25;0.12;5.65;7.90;1.01;28.16;1.64;0.06;3.55;0.20;8.92;0.43;4.22;3.36;2.12;0.11;107.60;0.52;74.13;0.01;31.42
PE_C_2.3;134.92;2.53;177.16;2.18;664.38;0.60;471.53;0.44;0.48;4.45;0.13;8.32;9.59;1.26;37.63;4.39;0.07;7.70;0.22;13.11;0.37;5.45;4.01;2.92;0.12;92.93;0.68;23.99;0.02;13.32
PE_C_2.4;104.58;1.53;117.38;2.06;640.04;0.60;324.43;1.68;0.46;4.51;0.11;7.63;6.54;1.50;26.23;2.60;0.06;5.04;0.16;8.10;0.38;4.96;2.87;2.61;0.17;103.20;0.01;6598.00;0.01;50.64
PE_C_3.1;92.04;5.08;22.15;14.66;67.27;1.99;20.28;11.04;0.18;9.47;0.11;4.08;0.40;4.64;95.24;3.42;0.06;8.21;0.18;9.28;0.39;5.70;0.88;6.16;0.08;87.23;0.01;4025.00;0.00;59.30
PE_C_3.2;102.54;1.98;23.65;10.87;66.89;1.49;23.47;10.85;0.24;2.33;0.14;11.20;0.56;4.92;153.93;2.27;0.07;6.05;0.13;7.49;0.35;9.57;1.34;7.79;0.09;140.80;0.48;126.10;0.01;54.56
PE_C_3.3;113.31;3.19;26.37;4.94;66.28;0.75;24.40;15.24;0.19;8.07;0.13;8.19;0.50;4.18;105.14;2.10;0.07;5.05;0.12;11.89;0.41;8.42;1.18;4.49;0.04;402.00;0.61;69.61;0.00;23.19
PE_C_3.4;98.45;1.57;28.55;10.09;63.49;1.16;31.79;16.20;0.28;8.02;0.15;5.37;0.66;3.34;184.09;0.66;0.08;2.06;0.14;5.96;2.44;2.09;3.03;2.59;0.04;69.34;0.51;84.10;0.00;58.17
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standards run as unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blank;0.58;399.90;-0.15;38.60;-0.46;125.10;-15.26;31.11;0.03;15.25;0.01;33.20;0.01;19.25;-0.05;269.10;0.01;23.74;0.01;44.80;-0.01;63.22;-0.02;313.40;0.05;99.72;0.12;542.50;0.01;25.56
TMDW;2457.90237;0.85;7891.56351;0.96;2439.14304;0.47;31218.3954;0.73;35.513886;0.56;19.803726;0.56;39.200427;0.74;99.322944;2.28;24.073971;0.21;60.375777;0.35;19.298814;1.22;72.681801;0.88;53.288316;1.83;11.146455;18.18;10.2108;1.49
6020-100ppb;104.85;3.37;97.38;2.59;103.00;0.54;85.93;2.04;99.67;0.51;98.58;0.50;100.65;0.54;99.46;1.87;98.31;0.54;100.61;0.36;99.57;0.69;101.94;0.75;100.17;1.06;102.59;3.52;101.20;0.34
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Detection limit of method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1.83;;0.41;;0.61;;21.64;;0.14;;0.14;;0.14;;0.33;;0.14;;0.13;;0.13;;0.23;;0.16;;0.55;;0.14;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Below detection limit of method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
