11.08.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comments;signal double as expected - probabaly w/o n-hex dilution - repeat after add 0.5ml n-hex;;;;;;;
IE from 28.07.21, Derivatization of IE_1 to IE_8, C_Std_1/2/3 and PostBlk 10.08.21;;;;;;;;;Maybe Derivatization mistake (forgot 1st step - add. Of init. 0.5ml 1N HCl);;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Samples repeated step by step with remaining analysis of IE;;;;;;;
Injection vol. 1ul;;ChemStation, Auto, RTE;;;;;;;;;Theor. Conc [ppm];;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;
6;IE_PFAS_12.08.21_2_C_Std_2.2;15.857;349302;349302;10.81;1651055;1640308;10.81;243361;244612;2.5;0.5;149.125652;;;
7;IE_PFAS_12.08.21_3_C_Std_3.1;15.858;314847;314847;10.812;8464427;8429272;10.812;1265896;1265166;7.5;1.5;150.0919652;Computed Conc;;
8;IE_PFAS_12.08.21_3_C_Std_3.2;15.858;299855;299855;10.814;4968377;4934748;10.814;735822;735822;7.5;1.5;149.1103497;n.hex [ppm];;
9;IE_PFAS_12.08.21_14_Blk.2;15.857;169252;169443;10.811;196373;196373;10.811;0;29737;0;0;151.4312049;SIM_525;SIM_525_auto;
10;IE_PFAS_12.08.21_4_IE_1.1;15.858;132547;0;10.811;0;74542;0;0;0;;;0;0;-0.018537078;
11;IE_PFAS_12.08.21_3_C_Std_3.3;15.858;264113;264930;10.813;5413381;5374327;10.812;806425;806425;7.5;;150.051346;;;
12;IE_PFAS_12.08.21_5_IE_5.1;15.858;102258;104274;10.806;158891;161777;10.806;0;22775;;;140.7802098;0.228019567;0.110221739;
13;IE_PFAS_12.08.21_6_IE_9.1;15.859;185800;185913;10.799;0;159672;10.797;0;23746;;;148.7173706;0;0.10711476;
14;IE_PFAS_12.08.21_7_IE_10.1;;;;10.811;3732609;3716147;10.811;551364;551364;;;148.3698035;5.356551892;5.356470118;
15;IE_PFAS_12.08.21_7_IE_10.2;15.859;223213;223213;10.812;2840501;2829348;10.811;425019;425019;;;150.2180008;4.076315255;4.047555228;
16;IE_PFAS_12.08.21_8_IE_11.1;15.858;425303;423513;10.806;1713271;1709465;10.805;252374;252374;;;147.6333239;2.458662297;2.394608469;
