;Na (µg/L);%RSD;Mg (µg/L);%RSD;K (µg/L);%RSD;Ca (µg/L);%RSD;V (µg/L);%RSD;Cr (µg/L);%RSD;Mn (µg/L);%RSD;Fe (µg/L);%RSD;Co (µg/L);%RSD;Ni (µg/L);%RSD;Cu (µg/L);%RSD;Zn (µg/L);%RSD;As (µg/L);%RSD;Se (µg/L);%RSD;Cd (µg/L);%RSD;Pb (µg/L);%RSD
IE_22;2425.17;3.02;1605.04;4.40;18720.72;0.57;4309.68;3.13;14.40;4.94;3.95;4.06;89.80;1.03;1062.23;2.58;1.04;7.52;4.69;10.91;11.73;3.94;68.73;4.45;3.80;65.65;4.12;441.30;-0.14;88.15;13.14;2.70
IE_23;2377.75;2.43;1865.63;9.70;19509.00;0.67;4633.88;4.45;24.75;2.33;5.04;7.58;104.28;3.07;1863.46;1.36;1.28;4.05;5.06;7.89;12.20;4.86;65.21;6.49;3.73;94.71;8.32;129.50;-0.10;100.50;15.15;1.03
IE_24;2458.64;1.70;1796.08;4.15;19874.78;0.55;4727.09;3.76;25.47;2.47;5.32;8.91;104.35;1.59;1796.58;2.23;1.27;8.70;5.37;8.73;19.78;3.45;79.38;4.03;4.76;43.29;10.64;229.20;-0.18;51.71;15.71;0.79
IE_25;16692.71;2.34;1653.67;6.68;3679.93;0.78;3597.12;4.75;10.26;13.20;4.36;6.17;9.38;6.77;3272.65;1.88;0.53;10.10;2.52;8.63;49.47;2.07;194.96;2.83;6.34;64.17;13.09;209.40;0.94;16.02;10.42;2.26
IE_26;14097.80;1.30;1463.76;8.51;3370.18;1.09;2862.14;5.00;11.75;3.40;4.02;6.05;10.86;14.95;2684.60;1.51;0.56;9.83;1.52;17.51;6.94;10.96;69.40;5.34;6.92;32.52;6.80;125.20;-0.28;30.48;6.44;2.18
IE_27;22212.37;1.88;1971.18;5.65;3452.00;0.90;4544.47;5.12;12.74;3.08;4.30;5.47;10.61;4.24;4018.09;2.09;0.49;23.08;1.92;10.36;9.19;3.95;27.26;10.97;4.19;125.40;8.49;135.10;-0.32;15.19;9.97;2.60
IE_28;17779.75;1.61;1648.63;5.66;3424.85;1.81;3490.03;5.29;12.33;6.84;4.50;9.39;10.25;2.29;3351.65;1.20;0.54;8.32;1.77;9.56;19.80;2.19;83.84;2.11;4.35;39.49;14.75;82.20;-0.29;11.22;10.48;3.40
IE_29;3236.70;23.56;376.07;12.32;3380.08;2.12;-970.48;11.36;3.61;14.07;2.64;15.63;9.04;7.80;1072.61;2.62;0.83;8.90;1.76;11.86;2.02;10.84;16.97;10.62;2.91;70.40;13.65;221.80;-0.23;46.83;1.23;6.71
IE_30;3046.62;2.09;342.96;9.69;3153.50;1.07;-1393.50;12.37;3.62;8.83;2.94;9.28;10.38;5.83;1034.54;2.33;0.87;11.20;1.70;13.04;5.05;7.63;25.59;3.51;4.67;108.90;-6.64;224.40;-0.31;5.27;1.84;6.72
IE_31;2728.05;1.49;372.02;17.50;3431.30;1.15;-1441.31;8.53;4.01;7.58;2.84;7.69;9.33;2.38;1098.69;1.69;0.89;2.31;1.72;19.71;3.54;6.34;26.56;10.72;4.04;102.40;-4.70;423.40;-0.26;22.51;2.07;5.02
IE_32;3027.03;4.44;381.89;13.81;3521.34;1.10;-1539.72;4.72;4.87;15.30;2.90;8.69;9.18;5.58;1219.90;0.85;0.98;5.65;1.51;16.38;7.68;4.27;29.36;11.54;1.70;257.90;27.83;97.16;-0.16;33.53;3.46;5.16
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standards run as unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blank;0.09;1057.00;-0.20;0.00;-0.72;87.88;-28.24;8.68;0.04;20.58;0.02;31.79;0.07;144.50;0.19;286.40;0.03;9.70;0.02;12.51;0.01;43.66;-0.08;98.73;0.09;43.66;0.32;107.60;0.02;30.96;0.03;7.97
TMDW;2466.54;1.37;8061.02;0.95;2494.26;0.72;31934.46;0.60;35.44;0.83;20.12;0.46;39.16;1.25;100.87;1.97;24.31;0.96;59.70;0.94;19.82;1.46;73.31;1.12;54.18;1.14;11.89;5.55;10.39;0.78;20.39;0.87
6020-100ppb;103.48;2.31;101.49;2.31;103.74;0.66;72.13;4.31;99.75;0.21;99.57;0.23;99.73;0.51;99.74;1.94;98.21;0.44;99.08;0.63;101.04;0.53;100.58;1.01;100.23;0.51;103.99;1.43;101.68;0.43;99.39;0.51
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Detection limit of method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6.22;;0.35;;0.93;;37.79;;0.13;;0.08;;0.09;;0.48;;0.09;;0.07;;0.11;;0.18;;0.18;;0.67;;0.08;;0.10;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Below detection limit of method;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
