03.08.21 GC-MS Measurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IE_A from 27.07.21, C_Std and R_Std from 27.06.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;ChemStation, AutoIntegrator and RTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;m/z 95;;;m/z 150;;;m/z 152;;;m/z 164;;Auto;RTE;m/z 166;;Auto;RTE;m/z 150;Auto;m/z 130;;m/z 131;;m/z 132;;Theoret. Init. Conc;;
Run no.;Sample ID;RT;SIM_95;SIM_95_auto;RT;SIM_150;SIM_150_auto;RT;SIM_152;SIM_152_auto;RT;SIM_164;SIM_164;SIM_164;RT;SIM_166;SIM_166;SIM_166;RT;SIM_150;;;;;;;aq.;164/166;
Method: PCE_T-Ramp_DHSI_SIM;;Integration by ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Injection vol. 50ul;;ChemStation, AutoIntegrator and RTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;m/z 95;;;m/z 150;;;m/z 152;;;m/z 164;;Auto;RTE;m/z 166;;Auto;RTE;m/z 150;Auto;m/z 130;;m/z 131;;m/z 132;;Theoret. Init. Conc;;
Run no.;Sample ID;RT;SIM_95;;RT;SIM_150;;RT;;SIM_152;RT;SIM_164;SIM_164;SIM_164;RT;SIM_166;SIM_166;SIM_166;RT;SIM_150;;;;;;;aq.;164/166;
1;IE_A_PCE_27.07.21_Blk.0;;;;;;;;;;;;;;;;;;13.165;114248;;;;;;;;;
2;IE_A_PCE_27.07.21_Blk.1;;;;;;;;;;;;;;;;;;13.167;139925;;;;;;;;;
3;IE_A_PCE_27.07.21_C_Std_1.1;;;;;;;;;;6.989;;;988;7.001;;;911;13.169;142118;;;;;;;0.05;1.084522503;
4;IE_A_PCE_27.07.21_C_Std_1.2;;;;;;;;;;7.001;;;960;;;;;13.169;164500;;;;;;;0.05;;
5;IE_A_PCE_27.07.21_C_Std_2.1;;;;;;;;;;7.001;;;1567;7.001;;;1828;13.169;130252;;;;;;;0.1;0.857221007;
6;IE_A_PCE_27.07.21_C_Std_2.2;;;;;;;;;;7.001;;3375;15579;7.001;;39557;6758;13.17;121327;;;;;;;0.1;;
7;IE_A_PCE_27.07.21_C_Std_3.1;;;;;;;;;;7.001;;;9523;7.001;;;11925;13.169;165847;;;;;;;0.5;0.798574423;
8;IE_A_PCE_27.07.21_C_Std_3.2;;;;;;;;;;7.001;;;7646;7.001;;;9251;13.171;155469;;;;;;;0.5;0.826505243;
9;IE_A_PCE_27.07.21_Blk.2;;;;;;;;;;;;;;;;;;13.17;169430;;;;;;;;;
10;IE_A_PCE_27.07.21_IE_13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;IE_A_PCE_27.07.21_IE_14.1;;;;;;;;;;7.001;;;1093;7.001;;;1239;;;;;;;;;;0.882163035;0.068749769
12;IE_A_PCE_27.07.21_IE_14.2;;;;;;;;;;7.001;;;1045;7.001;;;1579;;;;;;;;;;0.661811273;0.084441111
13;IE_A_PCE_27.07.21_IE_15.1;;;;;;;;;;7.001;;;1092;7.001;;;1409;;;;;;;;;;0.775017743;0.07659544
14;IE_A_PCE_27.07.21_IE_15.2;;;;;;;;;;7.001;;;1265;7.001;;;1485;;;;;;;;;;0.851851852;0.080102917
15;IE_A_PCE_27.07.21_IE_16.1;;;;;;;;;;7.001;;;1050;7.001;;;1496;;;;;;;;;;0.701871658;0.080610578
16;IE_A_PCE_27.07.21_IE_16.2;;;;;;;;;;7.001;;;1222;7.001;;;1228;;;;;;;;;;0.995114007;0.068242108
17;IE_A_PCE_27.07.21_IE_17.1;;;;;;;;;;6.989;;;434;6.989;;;487;;;;;;;;;;0.891170431;0.034044213
18;IE_A_PCE_27.07.21_IE_18.1;;;;;;;;;;7.001;;;553;7.001;;;493;;;;;;;;;;1.121703854;0.034321119
19;IE_A_PCE_27.07.21_IE_19.1;;;;;;;;;;7.001;;;426;7.001;;;532;;;;;;;;;;0.80075188;0.036121008
20;IE_A_PCE_27.07.21_Blk.3;;;;;;;;;;;;;;;;;;13.169;122881;;;;;;;;;
21;IE_A_PCE_27.07.21_IE_19.2;;;;;;;;;;7.001;;;511;7.001;;;645;;;;;;;;;;0.792248062;0.041336072
22;IE_A_PCE_27.07.21_IE_20.1;;;;;;;;;;7.001;;;370;6.989;;;515;;;;;;;;;;0.718446602;0.035336441
23;IE_A_PCE_27.07.21_IE_20.2;;;;;;;;;;7.001;;;397;7.001;;;479;;;;;;;;;;0.828810021;0.033675005
24;IE_A_PCE_27.07.21_IE_21.1;;;;;;;;;;;;;;7.001;;;313;;;;;;;;;;0;0.026013938
25;IE_A_PCE_27.07.21_IE_22.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
