21.07.21 GC-MS Measurement;;;;Int.Std.: PCNB;5 ul of 10 ng/ul;;;Comment;Interesting peaks;;;;;;;;;;;
PE_C from 09.07.21, Derivatization of PE_C_1.1 to PE_C_2.1, C_Std_1/2/3 and PostBlk 19.07.21;;;;;;;;;Slight signal, bc forgot to clean inject. Syringe properly;;;;;;;;;;;
Method: PFAS_Li-Sun.m;;Integration by ;;;;;;;Or residual from previous high Std;;;;;;;;;;;
Injection vol. 1ul;;ChemStation;;;;;;;;;Theor. Conc [ppm];;;;;;;;;
;;m/z 293;Int. Std.;;m/z 525;;;m/z 526;;;PFOA;;;;;;;;;
Run no.;Sample ID;RT;SIM_293;SIM_293_auto;RT;SIM_525;SIM_525_auto;RT;SIM_526;SIM_526_auto;in n-Hex;init. aq. Sol;;;;;;;;
10;PE_C_PFAS_22.07_4_2.2.1;15.858;755962;751169;10.785;408598;411605;10.784;0;62234;;;;0.423663912;0.427845146;;;;;
11;PE_C_PFAS_22.07_4_2.2.2;15.857;444853;444853;10.807;764937;764937;10.807;0;114769;;;;0.79314192;0.795118093;;;;;
12;PE_C_PFAS_22.07_5_2.3.1;15.857;684842;684304;10.804;379764;380956;10.803;0;55853;;;;0.393766739;0.39598687;;;;;
13;PE_C_PFAS_22.07_5_2.3.2;15.857;379132;379132;10.808;320750;322616;10.808;0;48005;;;;0.332576762;0.335345027;;;;;
14;PE_C_PFAS_22.07_6_2.4.1;15.859;705590;705590;10.813;435019;435019;10.812;0;65597;;;;Calibration Standards;Area;Init. Conc. Aq. ;Init. Mass Aq.;Eq. Mass Aq.;Eq. Mass Gas;Eq. Conc. Gas.
15;PE_C_PFAS_22.07_6_2.4.2;15.859;378974;378974;10.813;580435;581254;10.812;0;87729;;;;GC-MS meas. averaged;SIM_166;PCE [ppm];PCE [ug];PCE [ug];PCE [ug];PCE [ppm]
16;PE_C_PFAS_22.07_7_3.1.1;15.86;554397;553196;10.797;0;19244;0;0;0;;;29.06.2021;PE_B_PCE_C_Std_28.06_Blk;0;0;0;0;0;0
17;PE_C_PFAS_22.07_7_3.1.2;15.859;391786;391786;10.816;0;17486;0;0;0;;;;PE_B_PCE_C_Std_28.06_1;0;0.05;0.5;0.4176;0.0824;0.0082
18;PE_C_PFAS_22.07_8_3.2.1;15.861;943081;943081;10.815;1565204;1560896;10.815;235608;236756;;;;PE_B_PCE_C_Std_28.06_2;120460;0.1;1;0.8352;0.1648;0.0165
19;PE_C_PFAS_22.07_8_3.2.2;15.857;493965;493965;10.81;1915049;1911200;10.809;289107;289107;;;;PE_B_PCE_C_Std_28.06_3;675632.5;0.5;5;4.1759;0.8241;0.0824
20;PE_C_PFAS_22.07_11_Blk.4;15.861;1278350;1272967;10.807;0;84578;10.806;0;12501;0;0;;PE_B_PCE_C_Std_28.06_4;1435639.5;1;10;8.3518;1.6482;0.1648
21;PE_C_PFAS_22.07_9_3.3.1;15.859;956299;963316;10.812;1488547;1485173;10.812;0;225956;;;30.06.2021;PE_B_PCE_C_Std_28.06_Blk;0;0;0;0;0;0
22;PE_C_PFAS_22.07_9_3.3.2;15.858;753380;753380;10.812;1731437;1728790;10.812;260819;260819;;;;PE_B_PCE_C_Std_28.06_3;508815;0.5;5;4.1759;0.8241;0.0824
23;PE_C_PFAS_22.07_10_3.4.1;15.857;356445;356297;10.804;1357431;1355616;10.804;202123;202123;;;;PE_B_PCE_C_Std_28.06_4;916837.5;1;10;8.3518;1.6482;0.1648
24;PE_C_PFAS_22.07_10_3.4.2;15.857;278183;278183;10.814;1209075;1204691;10.814;184788;184788;;;;PE_B_PCE_C_Std_28.06_5;4883471;5;50;41.7591;8.2409;0.8241
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
